customer_id_raw,signup_date_raw
1,2024-02-21
2,2024-09-23
3,2025-01-23
4,2024-12-01
5,2024-08-04
6,2025-04-10
7,2024-11-30
8,2024-12-11
9,2025-01-23
10,2024-10-11
11,2025-03-07
12,2024-09-15
13,2024-03-24
14,2025-04-26
15,2024-01-20
16,2025-07-06
17,2024-02-23
18,2024-12-24
19,2024-08-17
20,2025-10-27
21,2024-03-11
22,2025-10-29
23,2024-02-11
24,2024-02-01
25,2024-09-10
26,2024-07-23
27,2024-01-21
28,2025-09-28
29,2024-06-05
30,2024-09-01
31,2024-05-09
32,2025-04-29
33,2025-11-16
34,2024-04-27
35,2025-07-31
36,2024-08-11
37,2025-04-21
38,2024-09-19
39,2025-01-12
40,2024-06-20
41,2025-09-12
42,2025-09-13
43,2024-04-27
44,2024-06-16
45,2024-11-14
46,2024-04-20
47,2025-08-15
48,2024-01-27
49,2024-11-15
50,2025-08-12
51,2025-11-24
52,2025-01-19
53,2025-02-10
54,2024-07-22
55,2024-03-18
56,2025-08-29
57,2025-10-04
58,2024-09-05
59,2024-04-14
60,2024-11-04
61,2025-12-01
62,2025-09-06
63,2024-05-03
64,2025-08-02
65,2024-02-12
66,2024-12-21
67,2025-06-29
68,2025-03-14
69,2025-11-08
70,2025-01-14
71,2024-03-11
72,2025-06-02
73,2025-10-25
74,2024-12-15
75,2024-01-13
76,2025-03-06
77,2025-05-16
78,2024-04-18
79,2025-03-19
80,2025-01-05
81,2025-10-12
82,2025-04-15
83,2024-06-05
84,2025-03-21
85,2024-06-29
86,2025-06-18
87,2025-10-28
88,2024-10-03
89,2025-09-22
90,2025-07-05
91,2025-05-10
92,2025-04-21
93,2025-03-22
94,2025-08-29
95,2024-10-01
96,2024-11-26
97,2024-09-08
98,2024-03-29
99,2024-10-12
100,2025-04-06
101,2024-09-06
102,2025-04-20
103,2025-08-06
104,2025-09-16
105,2025-11-15
106,2025-01-23
107,2024-12-10
108,2024-01-30
109,2025-05-21
110,2024-11-28
111,2024-07-05
112,2025-05-14
113,2024-08-05
114,2024-12-29
115,2024-09-21
116,2024-12-14
117,2024-10-13
118,2025-09-02
119,2024-10-09
120,2025-07-23
121,2024-01-11
122,2025-06-13
123,2024-07-14
124,2024-03-28
125,2024-09-04
126,2025-02-20
127,2025-05-15
128,2025-07-22
129,2024-09-03
130,2025-05-02
131,2025-10-23
132,2025-05-17
133,2025-04-03
134,2024-01-18
135,2024-04-05
136,2024-10-28
137,2024-08-14
138,2025-02-18
139,2024-09-06
140,2024-11-09
141,2025-11-10
142,2025-08-18
143,2025-01-12
144,2025-04-29
145,2025-07-20
146,2025-06-27
147,2024-12-18
148,2025-03-11
149,2025-07-17
150,2024-12-04
151,2024-12-26
152,2025-04-09
153,2024-10-04
154,2024-11-09
155,2024-09-14
156,2024-08-24
157,2024-05-03
158,2024-07-16
159,2024-11-19
160,2024-05-02
161,2025-07-02
162,2024-07-08
