transaction_ref,merchant_id_raw,customer_id_raw,amount_raw,status_raw,payment_method_raw,channel_raw,created_at_raw,source_system
TX-00000001,92,1101,3821.34,FAILED,USSD,POS,2026-02-13 04:37:00,pos_gateway
TX-00000002,2,1549,2781.84,success,Transfer,Web,2026-10-31 22:46:00,partner_feed
TX-00000003,195,1687,4120.97,SUCCESS,Card,Web,2026-07-13 16:06:00,mobile_app
TX-00000004,142,387,6383.78,success,Card,Mobile,2026-02-26 11:28:00,partner_feed
TX-00000005,393,1918,2651.61,success,Card,POS,2026-08-12 21:16:00,switch_api
TX-00000006,305,69,2651.63,FAILED,USSD,Mobile,2026-02-06 17:38:00,switch_api
TX-00000007,380,91,6565.65,FAILED,Transfer,POS,2026-03-31 02:31:00,pos_gateway
TX-00000008,443,1590,4375.24,success,Card,Mobile,2026-10-02 15:55:00,mobile_app
TX-00000009,418,1877,2357.28,error,Transfer,Mobile,2026-03-27 06:08:00,mobile_app
TX-00000010,155,1795,3909.95,SUCCESS,USSD,Mobile,2026-03-28 06:05:00,pos_gateway
TX-00000011,154,564,2364.43,success,USSD,Mobile,2026-05-31 13:44:00,pos_gateway
TX-00000012,348,875,2361.7,error,Transfer,POS,2026-08-16 22:00:00,mobile_app
TX-00000013,330,1375,3364.32,FAILED,USSD,Web,2026-12-09 19:42:00,partner_feed
TX-00000014,77,615,1145.23,FAILED,Card,Mobile,2026-05-29 15:25:00,partner_feed
TX-00000015,435,462,1258.33,failed,USSD,POS,2026-03-29 17:36:00,partner_feed
TX-00000016,30,1152,2250.38,FAILED,Transfer,Mobile,2026-11-30 01:07:00,pos_gateway
TX-00000017,125,523,1796.48,SUCCESS,Transfer,Mobile,2026-05-22 10:03:00,switch_api
TX-00000018,231,1735,3488.14,failed,Card,Mobile,2026-12-02 18:32:00,pos_gateway
TX-00000019,138,773,1893.13,error,USSD,POS,2026-01-19 18:20:00,switch_api
TX-00000020,412,1560,1471.22,error,USSD,Mobile,2026-03-10 12:11:00,pos_gateway
TX-00000021,107,1781,6203.22,failed,Transfer,POS,2026-06-24 13:00:00,pos_gateway
TX-00000022,98,1971,2662.74,success,USSD,Web,2026-12-08 05:01:00,pos_gateway
TX-00000023,310,1442,3083.33,SUCCESS,Transfer,POS,2026-09-11 06:28:00,mobile_app
TX-00000024,145,780,1462.1,FAILED,USSD,Mobile,2026-10-10 08:32:00,mobile_app
TX-00000025,134,737,2270.62,error,Transfer,Web,2026-04-23 07:02:00,switch_api
TX-00000026,370,962,3150.96,failed,Card,Web,2026-10-20 07:07:00,mobile_app
TX-00000027,24,1153,1676.57,SUCCESS,USSD,POS,2026-05-31 16:58:00,switch_api
TX-00000028,284,1915,3596.98,error,USSD,Mobile,2026-04-05 22:40:00,partner_feed
TX-00000029,79,402,2207.64,failed,Card,Web,2026-04-18 11:25:00,pos_gateway
TX-00000030,282,1341,2576.41,failed,Transfer,Web,2026-07-01 18:57:00,partner_feed
